[2021-10-13 19:47:23.781173]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.782171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.783171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.784172]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.786175]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.787179]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.788175]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.790173]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.791174]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.792172]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.793170]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.794171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.796172]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.797171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.798169]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.799170]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.800177]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.801171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.803171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.804172]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.805171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.806170]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.807171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.808171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.809171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.810172]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.811172]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.812172]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.813171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.815171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.816173]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.817175]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.818172]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.820172]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.821172]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.822171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.823170]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.824170]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.826171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.827173]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.828171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.830171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.831172]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.833170]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.834172]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.835172]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.836172]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.837171]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.839173]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.840174]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.841173]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
[2021-10-13 19:47:23.842170]: Value for header {content-length: 4468} must be of type str or bytes, not <class 'int'>
